Name,All-Star %,Starter %,Role Player %,Bust %,True Classification
Doug McDermott,0.17,0.19,0.6,0.04,Role Player
Channing Frye,0.05,0.3,0.58,0.07,Role Player
Thaddeus Young,0.02,0.36,0.56,0.06,Role Player
Avery Bradley,0.09,0.37,0.45,0.09,Role Player
Byron Mullens,0.01,0.36,0.5,0.13,Role Player
Ed Davis,0.01,0.3,0.53,0.16,Role Player
Austin Rivers,0.03,0.28,0.65,0.04,Role Player
Eric Gordon,0.23,0.23,0.48,0.06,Role Player
Steven Hunter,0.02,0.3,0.45,0.23,Role Player
Andrew Bogut,0.06,0.39,0.45,0.1,Role Player
Wesley Johnson,0.03,0.46,0.47,0.04,Role Player
Spencer Hawes,0.02,0.45,0.4,0.13,Starter
James Ennis,0.14,0.42,0.41,0.03,Starter
Marcus Morris,0.06,0.22,0.63,0.09,Role Player
Bradley Beal,0.17,0.38,0.43,0.02,Role Player
Noah Vonleh,0.0,0.31,0.6,0.09,Role Player
Aaron Brooks,0.15,0.21,0.57,0.07,Role Player
Luke Ridnour,0.12,0.33,0.51,0.04,Role Player
Michael Carter-Williams,0.1,0.47,0.4,0.03,Starter
Corey Brewer,0.07,0.37,0.5,0.06,Role Player
Kentavious Caldwell-Pope,0.06,0.37,0.55,0.02,Role Player
Dahntay Jones,0.03,0.22,0.7,0.05,Role Player
Toney Douglas,0.09,0.19,0.67,0.05,Role Player
Kawhi Leonard,0.12,0.41,0.46,0.01,Role Player
Marcus Smart,0.16,0.32,0.47,0.05,Role Player
Shabazz Napier,0.18,0.35,0.36,0.11,Role Player
Steve Novak,0.04,0.43,0.5,0.03,Role Player
Gilbert Arenas,0.08,0.24,0.63,0.05,Role Player
Glenn Robinson III,0.1,0.39,0.42,0.09,Role Player
Dominic McGuire,0.02,0.28,0.65,0.05,Role Player
DeMar DeRozan,0.04,0.37,0.51,0.08,Role Player
Kyle O'Quinn,0.07,0.32,0.47,0.14,Role Player
Ben Gordon,0.15,0.19,0.62,0.04,Role Player
David West,0.06,0.29,0.51,0.14,Role Player
Devin Harris,0.11,0.49,0.36,0.04,Starter
Chris Bosh,0.02,0.4,0.51,0.07,Role Player
Kris Humphries,0.03,0.26,0.68,0.03,Role Player
Andre Roberson,0.03,0.5,0.45,0.02,Starter
Jared Jeffries,0.1,0.36,0.53,0.01,Role Player
Luther Head,0.1,0.63,0.23,0.04,Starter
Jerryd Bayless,0.15,0.32,0.51,0.02,Role Player
Michael Redd,0.01,0.12,0.84,0.03,Role Player
Blake Griffin,0.07,0.38,0.51,0.04,Role Player
Cole Aldrich,0.04,0.31,0.51,0.14,Role Player
Jared Dudley,0.07,0.31,0.57,0.05,Role Player
Shane Battier,0.17,0.34,0.46,0.03,Role Player
Wayne Ellington,0.04,0.16,0.78,0.02,Role Player
Brendan Haywood,0.0,0.46,0.43,0.11,Starter
Greg Monroe,0.04,0.38,0.52,0.06,Role Player
Willie Green,0.02,0.2,0.66,0.12,Role Player
Iman Shumpert,0.11,0.31,0.57,0.01,Role Player
Austin Daye,0.08,0.41,0.41,0.1,Role Player
Jameer Nelson,0.05,0.37,0.55,0.03,Role Player
DeMarre Carroll,0.04,0.46,0.44,0.06,Starter
Marcus Thornton,0.04,0.16,0.75,0.05,Role Player
Tyreke Evans,0.33,0.2,0.43,0.04,Role Player
James Jones,0.05,0.37,0.56,0.02,Role Player
Ekpe Udoh,0.04,0.3,0.61,0.05,Role Player
Jeff Teague,0.21,0.39,0.34,0.06,Starter
Gordon Hayward,0.1,0.38,0.45,0.07,Role Player
Shawne Williams,0.06,0.45,0.47,0.02,Role Player
Chase Budinger,0.04,0.05,0.9,0.01,Role Player
LaMarcus Aldridge,0.05,0.41,0.41,0.13,Role Player
Raymond Felton,0.16,0.34,0.5,0.0,Role Player
Eric Maynor,0.11,0.3,0.49,0.1,Role Player
Brian Cook,0.12,0.27,0.51,0.1,Role Player
Kyle Anderson,0.12,0.43,0.43,0.02,Role Player
Darrell Arthur,0.0,0.22,0.6,0.18,Role Player
Julian Wright,0.07,0.51,0.4,0.02,Starter
Michael Beasley,0.22,0.17,0.59,0.02,Role Player
Nerlens Noel,0.07,0.41,0.38,0.14,Starter
